web-scraper-order,web-scraper-start-url,Type_Habits,Prix,Adresse,Image_Lien-src
"1752870157-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Combinaison","12 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752870157-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","8 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752870157-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble pantalon kaki et chemise","15 000CFA","Grand Dakar, Dakar, Sénégal",""
"1752870157-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","8 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","8 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","14 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","12 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble habits","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","11 000CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal",""
"1752870157-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Tee-shirt coton","1 500CFA","Les Parcelles Assainies, Dakar, Sénégal",""
